prohibited_ingredient_list_final
Name;Name;Product type, body parts;Maximum Threshold
Trioxysalen;Trioxysalen;Sun protection products and bronzing products;1 mg/kg
Furocoumarines;Furocoumarines;Sun protection products and bronzing products;1 mg/kg
8-Methoxypsoralen;8-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
5-Methoxypsoralen;5-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
Safrole;Safrole;Products for dental and oral hygiene;50 ppm
Salts of ethanaminium, N-[4-[(4-(diethylamino)phenyl)phenylmethylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-;Salts of ethanaminium, N-[4-[(4-(diethylamino)phenyl)phenylmethylene]-2,5-cyclohexadien-1-ylidene]-N-ethyl-;Hair dye products;0%
Salts of ethanaminium, N-(4-[bis[4-(diethylamino)phenyl]methylene]-2,5-cyclohexadien-1-ylidene)-N-ethyl-;Salts of ethanaminium, N-(4-[bis[4-(diethylamino)phenyl]methylene]-2,5-cyclohexadien-1-ylidene)-N-ethyl-;Hair dye products;0%
Salts of CI Acid Black 131;Salts of CI Acid Black 131;Hair dye products;0%
Salts of benzothiazolium, 2-[[4-[ethyl(2-hydroxyethyl)amino]phenyl]azo]-6-methoxy-3-methyl-;Salts of benzothiazolium, 2-[[4-[ethyl(2-hydroxyethyl)amino]phenyl]azo]-6-methoxy-3-methyl-;Hair dye products;0%
Salts of benzo[a]phenoxazin-7-ium, 9-(dimethylamino)-;Salts of benzo[a]phenoxazin-7-ium, 9-(dimethylamino)-;Hair dye products;0%
Salts of benzenesulfonic acid, 5-[(2,4-dinitrophenyl)amino]-2-(phenylamino)-;Salts of benzenesulfonic acid, 5-[(2,4-dinitrophenyl)amino]-2-(phenylamino)-;Hair dye products;0%
Salts of benzenaminium, 3-[[4-[[diamino(phenylazo)phenyl]azo]-2-methylphenyl]azo]-N,N,N-trimethyl-;Salts of benzenaminium, 3-[[4-[[diamino(phenylazo)phenyl]azo]-2-methylphenyl]azo]-N,N,N-trimethyl-;Hair dye products;0%
Salts of benzenaminium, 3-[[4-[[diamino(phenylazo)phenyl]azo]-1-naphthalenyl]azo]-N,N,N-trimethyl-;Salts of benzenaminium, 3-[[4-[[diamino(phenylazo)phenyl]azo]-1-naphthalenyl]azo]-N,N,N-trimethyl-;Hair dye products;0%
Salts of [6-[[3-chloro-4-(methylamino)phenyl]imino]-4-methyl-3-oxocyclohexa-1,4-dien-1-yl]urea (HC Red No. 9) and its salts;Salts of [6-[[3-chloro-4-(methylamino)phenyl]imino]-4-methyl-3-oxocyclohexa-1,4-dien-1-yl]urea (HC Red No. 9) and its salts;Hair dye products;0%
Salts of 9,10-anthracenedione, 1-[(2-hydroxyethyl)amino]-4-(methylamino)-;Salts of 9,10-anthracenedione, 1-[(2-hydroxyethyl)amino]-4-(methylamino)-;Hair dye products;0%
