prohibited_ingredient_list_final
Name;Name;Product type, body parts;Maximum Threshold
Trioxysalen;Trioxysalen;Sun protection products and bronzing products;1 mg/kg
Furocoumarines;Furocoumarines;Sun protection products and bronzing products;1 mg/kg
8-Methoxypsoralen;8-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
5-Methoxypsoralen;5-Methoxypsoralen;Sun protection products and bronzing products;1 mg/kg
Safrole;Safrole;Products for dental and oral hygiene;50 ppm
Trifluralin (ISO);Trifluralin (ISO);All cosmetic products;0%
Trifluperidol;Trifluperidol;All cosmetic products;0%
Trifluoroiodomethane;Trifluoroiodomethane;All cosmetic products;0%
Triflumizole (ISO);Triflumizole (ISO);All cosmetic products;0%
Tridemorph;Tridemorph;All cosmetic products;0%
Trichloronitromethane;Trichloronitromethane;All cosmetic products;0%
Trichloromethylstannane;Trichloromethylstannane;All cosmetic products;0%
Trichloroethylene;Trichloroethylene;All cosmetic products;0%
Trichloroacetic acid;Trichloroacetic acid;All cosmetic products;0%
Trichlormethine hydrochloride;Trichlormethine hydrochloride;All cosmetic products;0%
Trichlormethine;Trichlormethine;All cosmetic products;0%
Tributyltin compounds;Tributyltin compounds;All cosmetic products;0%
Tributyl phosphate;Tributyl phosphate;All cosmetic products;0%
Tribromsalan;Tribromsalan;All cosmetic products;0%
Triamterene;Triamterene;All cosmetic products;0%
Triammonium 4-[4-[7-(4-carboxylatoanilino)-1-hydroxy-3-sulfonato-2-naphthylazo]-2,5-dimethoxyphenylazo]benzoate;Triammonium 4-[4-[7-(4-carboxylatoanilino)-1-hydroxy-3-sulfonato-2-naphthylazo]-2,5-dimethoxyphenylazo]benzoate;All cosmetic products;0%
Triadimenol (ISO);Triadimenol (ISO);All cosmetic products;0%
Tretinoin;Tretinoin;All cosmetic products;0%
Tretamine;Tretamine;All cosmetic products;0%
Tranylcypromine;Tranylcypromine;All cosmetic products;0%
trans-4-Phenyl-L-proline;trans-4-Phenyl-L-proline;All cosmetic products;0%
Trans-4-cyclohexyl-L-proline monohydro-chloride;Trans-4-cyclohexyl-L-proline monohydro-chloride;All cosmetic products;0%
Tralkoxydim (ISO);Tralkoxydim (ISO);All cosmetic products;0%
Toxaphene;Toxaphene;All cosmetic products;0%
Toluidinium chloride;Toluidinium chloride;All cosmetic products;0%
Toluidines, all isomers;Toluidines, all isomers;All cosmetic products;0%
Toluidine sulphate (1:1);Toluidine sulphate (1:1);All cosmetic products;0%
Tolbutamide;Tolbutamide;All cosmetic products;0%
Tolboxane;Tolboxane;All cosmetic products;0%
Tiratricol;Tiratricol;All cosmetic products;0%
Thyropropic acid;Thyropropic acid;All cosmetic products;0%
Thiuram monosulphides;Thiuram monosulphides;All cosmetic products;0%
Thiram;Thiram;All cosmetic products;0%
Thiourea;Thiourea;All cosmetic products;0%
Thiotepa;Thiotepa;All cosmetic products;0%
Thiophanate-methyl;Thiophanate-methyl;All cosmetic products;0%
Thioacetamide;Thioacetamide;All cosmetic products;0%
Thiamazole;Thiamazole;All cosmetic products;0%
Thiacloprid (ISO);Thiacloprid (ISO);All cosmetic products;0%
Thevetia neriifolia Juss., glycoside extract;Thevetia neriifolia Juss., glycoside extract;All cosmetic products;0%
Thallium and its compounds;Thallium and its compounds;All cosmetic products;0%
Thalidomide;Thalidomide;All cosmetic products;0%
Tetryzoline;Tetryzoline;All cosmetic products;0%
Tetrylammonium bromide;Tetrylammonium bromide;All cosmetic products;0%
Tetrasodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonate];"Tetrasodium 3,3&#39;-[[1,1&#39;-biphenyl]-4,4&#39;-diylbis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonate]";All cosmetic products;0%
Tetramethrin (ISO);Tetramethrin (ISO);All cosmetic products;0%
Tetrahydrothiopyran-3-carboxaldehyde;Tetrahydrothiopyran-3-carboxaldehyde;All cosmetic products;0%
Tetrahydrofuran;Tetrahydrofuran;All cosmetic products;0%
"Tetrahydro-6-nitroquinoxaline and its salts;Tetrahydro-6-nitroquinoxaline hydrochloride";Tetrahydro-6-nitroquinoxaline hydrochloride;All cosmetic products;0%
"Tetrahydro-6-nitroquinoxaline and its salts;Tetrahydro-6-nitroquinoxaline hydrochloride";Tetrahydro-6-nitroquinoxaline and its salts;All cosmetic products;0%
Tetrahydro-6-nitro-quinoxaline;Tetrahydro-6-nitro-quinoxaline;All cosmetic products;0%
Tetrahydro-2-furylmethanol;Tetrahydro-2-furylmethanol;All cosmetic products;0%
Tetrahydro-1,3-dimethyl-1H-pyrimidin-2-one;Tetrahydro-1,3-dimethyl-1H-pyrimidin-2-one;All cosmetic products;0%
Tetraethyl pyrophosphate;Tetraethyl pyrophosphate;All cosmetic products;0%
Tetrachlorosalicylanilides;Tetrachlorosalicylanilides;All cosmetic products;0%
Tetrachloroethylene;Tetrachloroethylene;All cosmetic products;0%
Tetracarbonylnickel;Tetracarbonylnickel;All cosmetic products;0%
Tetracaine;Tetracaine;All cosmetic products;0%
Tetrabromosalicylanilides;Tetrabromosalicylanilides;All cosmetic products;0%
Tetraboron disodium heptaoxide, hydrate;Tetraboron disodium heptaoxide, hydrate;All cosmetic products;0%
Tetraborates;Tetraborates;All cosmetic products;0%
Tetrabenazine;Tetrabenazine;All cosmetic products;0%
tert-Butyl hydroperoxide;tert-Butyl hydroperoxide;All cosmetic products;0%
Tepraloxydim (ISO);Tepraloxydim (ISO);All cosmetic products;0%
Tembotrione (ISO);Tembotrione (ISO);All cosmetic products;0%
Tellurium and its compounds;Tellurium and its compounds;All cosmetic products;0%
Tefazoline;Tefazoline;All cosmetic products;0%
Technical product-reaction mass of [4-methyl-m-phenylenediamine and 2-methyl-m-phenylenediamine];Technical product-reaction mass of [4-methyl-m-phenylenediamine and 2-methyl-m-phenylenediamine];All cosmetic products;0%
Tar oils, coal, low-temp.;Tar oils, coal, low-temp.;All cosmetic products;0%
Tar oils, coal;Tar oils, coal;All cosmetic products;0%
Tar bases, quinoline derivs.;Tar bases, quinoline derivs.;All cosmetic products;0%
Tar bases, coal, toluidine fraction;Tar bases, coal, toluidine fraction;All cosmetic products;0%
Tar bases, coal, quinoline derivs. fraction;Tar bases, coal, quinoline derivs. fraction;All cosmetic products;0%
Tar bases, coal, picoline fraction;Tar bases, coal, picoline fraction;All cosmetic products;0%
Tar bases, coal, lutidine fraction;Tar bases, coal, lutidine fraction;All cosmetic products;0%
Tar bases, coal, distn. residues;Tar bases, coal, distn. residues;All cosmetic products;0%
Tar bases, coal, crude;Tar bases, coal, crude;All cosmetic products;0%
Tar bases, coal, collidine fraction;Tar bases, coal, collidine fraction;All cosmetic products;0%
Tar bases, coal, aniline fraction;Tar bases, coal, aniline fraction;All cosmetic products;0%
Tar acids, xylenol fraction;Tar acids, xylenol fraction;All cosmetic products;0%
Tar acids, residues, distillates, first-cut;Tar acids, residues, distillates, first-cut;All cosmetic products;0%
Tar acids, polyalkylphenol fraction;Tar acids, polyalkylphenol fraction;All cosmetic products;0%
Tar acids, methylphenol fraction;Tar acids, methylphenol fraction;All cosmetic products;0%
Tar acids, ethylphenol fraction;Tar acids, ethylphenol fraction;All cosmetic products;0%
Tar acids, distn. residues;Tar acids, distn. residues;All cosmetic products;0%
Tar acids, cresylic, sodium salts, caustic solns.;Tar acids, cresylic, sodium salts, caustic solns.;All cosmetic products;0%
Tar acids, cresylic, residues;Tar acids, cresylic, residues;All cosmetic products;0%
Tar acids, cresylic;Tar acids, cresylic;All cosmetic products;0%
Tar acids, coal, crude;Tar acids, coal, crude;All cosmetic products;0%
Tar acids, brown-coal, crude;Tar acids, brown-coal, crude;All cosmetic products;0%
Tar acids, brown-coal, C2-alkylphenol fraction;Tar acids, brown-coal, C2-alkylphenol fraction;All cosmetic products;0%
Tar acids, brown-coal gasification;Tar acids, brown-coal gasification;All cosmetic products;0%
Tar acids, 3,5-xylenol fraction;Tar acids, 3,5-xylenol fraction;All cosmetic products;0%
Tail gas (petroleum), vacuum residues thermal cracker;Tail gas (petroleum), vacuum residues thermal cracker;All cosmetic products;0%
"Tail gas (petroleum), vacuum gas oil hydrodesulfurised, hydrogen sulfide-free;Tail gas (petroleum), vacuum gas oil hydrodesulfurizer, hydrogen sulfide-free";Tail gas (petroleum), vacuum gas oil hydrodesulfurizer, hydrogen sulfide-free;All cosmetic products;0%
"Tail gas (petroleum), vacuum gas oil hydrodesulfurised, hydrogen sulfide-free;Tail gas (petroleum), vacuum gas oil hydrodesulfurizer, hydrogen sulfide-free";Tail gas (petroleum), vacuum gas oil hydrodesulfurised, hydrogen sulfide-free;All cosmetic products;0%
Tail gas (petroleum), thermal-cracked distillate, gas oil and naphtha absorber;Tail gas (petroleum), thermal-cracked distillate, gas oil and naphtha absorber;All cosmetic products;0%
Tail gas (petroleum), thermal cracked hydrocarbon fractionation stabiliser, petroleum coking;Tail gas (petroleum), thermal cracked hydrocarbon fractionation stabiliser, petroleum coking;All cosmetic products;0%
"Tail gas (petroleum), straight-run naphtha hydrodesulfurised;Tail gas (petroleum), straight-run naphtha hydrodesulfurizer";Tail gas (petroleum), straight-run naphtha hydrodesulfurised;All cosmetic products;0%
"Tail gas (petroleum), straight-run naphtha hydrodesulfurised;Tail gas (petroleum), straight-run naphtha hydrodesulfurizer";Tail gas (petroleum), straight-run naphtha hydrodesulfurizer;All cosmetic products;0%
"Tail gas (petroleum), straight-run distillate hydrodesulfurised, hydrogen sulfide-free;Tail gas (petroleum), straight-run distillate hydrodesulfurizer, hydrogen sulfide-free";Tail gas (petroleum), straight-run distillate hydrodesulfurizer, hydrogen sulfide-free;All cosmetic products;0%
"Tail gas (petroleum), straight-run distillate hydrodesulfurised, hydrogen sulfide-free;Tail gas (petroleum), straight-run distillate hydrodesulfurizer, hydrogen sulfide-free";Tail gas (petroleum), straight-run distillate hydrodesulfurised, hydrogen sulfide-free;All cosmetic products;0%
Tail gas (petroleum), saturate gas recovery plant, C1-2-rich;Tail gas (petroleum), saturate gas recovery plant, C1-2-rich;All cosmetic products;0%
Tail gas (petroleum), saturate gas plant mixed stream, C4-rich;Tail gas (petroleum), saturate gas plant mixed stream, C4-rich;All cosmetic products;0%
"Tail gas (petroleum), propane-propylene alkylation feed prep deethaniser;Tail gas (petroleum), propane-propylene alkylation feed prep deethanizer";Tail gas (petroleum), propane-propylene alkylation feed prep deethanizer;All cosmetic products;0%
"Tail gas (petroleum), propane-propylene alkylation feed prep deethaniser;Tail gas (petroleum), propane-propylene alkylation feed prep deethanizer";Tail gas (petroleum), propane-propylene alkylation feed prep deethaniser;All cosmetic products;0%
"Tail gas (petroleum), light straight-run naphtha stabiliser, hydrogen sulfide-free;Tail gas (petroleum), light straight-run naphtha stabilizer, hydrogen sulfide-free";Tail gas (petroleum), light straight-run naphtha stabilizer, hydrogen sulfide-free;All cosmetic products;0%
"Tail gas (petroleum), light straight-run naphtha stabiliser, hydrogen sulfide-free;Tail gas (petroleum), light straight-run naphtha stabilizer, hydrogen sulfide-free";Tail gas (petroleum), light straight-run naphtha stabiliser, hydrogen sulfide-free;All cosmetic products;0%
"Tail gas (petroleum), isomerised naphtha fractionation stabiliser;Tail gas (petroleum), isomerized naphtha fractionation stabilizer";Tail gas (petroleum), isomerised naphtha fractionation stabiliser;All cosmetic products;0%
"Tail gas (petroleum), isomerised naphtha fractionation stabiliser;Tail gas (petroleum), isomerized naphtha fractionation stabilizer";Tail gas (petroleum), isomerized naphtha fractionation stabilizer;All cosmetic products;0%
"Tail gas (petroleum), hydrodesulfurised vacuum gas oil stripper, hydrogen sulfide-free;Tail gas (petroleum), hydrodesulfurized vacuum gas oil stripper, hydrogen sulfide-free";Tail gas (petroleum), hydrodesulfurized vacuum gas oil stripper, hydrogen sulfide-free;All cosmetic products;0%
"Tail gas (petroleum), hydrodesulfurised vacuum gas oil stripper, hydrogen sulfide-free;Tail gas (petroleum), hydrodesulfurized vacuum gas oil stripper, hydrogen sulfide-free";Tail gas (petroleum), hydrodesulfurised vacuum gas oil stripper, hydrogen sulfide-free;All cosmetic products;0%
Tail gas (petroleum), hydrodesulfurised straight-run naphtha separator;Tail gas (petroleum), hydrodesulfurised straight-run naphtha separator;All cosmetic products;0%
"Tail gas (petroleum), hydrodesulfurised distillate and hydrodesulfurised naphtha fractionator, acid-free;Tail gas (petroleum), hydrodesulfurized distillate and hydrodesulfurized naphtha fractionator, acid-free";Tail gas (petroleum), hydrodesulfurized distillate and hydrodesulfurized naphtha fractionator, acid-free;All cosmetic products;0%
"Tail gas (petroleum), hydrodesulfurised distillate and hydrodesulfurised naphtha fractionator, acid-free;Tail gas (petroleum), hydrodesulfurized distillate and hydrodesulfurized naphtha fractionator, acid-free";Tail gas (petroleum), hydrodesulfurised distillate and hydrodesulfurised naphtha fractionator, acid-free;All cosmetic products;0%
"Tail gas (petroleum), gas recovery plant deethaniser;Tail gas (petroleum), gas recovery plant deethanizer";Tail gas (petroleum), gas recovery plant deethaniser;All cosmetic products;0%
"Tail gas (petroleum), gas recovery plant deethaniser;Tail gas (petroleum), gas recovery plant deethanizer";Tail gas (petroleum), gas recovery plant deethanizer;All cosmetic products;0%
Tail gas (petroleum), gas recovery plant;Tail gas (petroleum), gas recovery plant;All cosmetic products;0%
Tail gas (petroleum), gas recovery plant;Tail gas (petroleum), gas recovery plant;All cosmetic products;0%
Tail gas (petroleum), gas oil catalytic cracking absorber;Tail gas (petroleum), gas oil catalytic cracking absorber;All cosmetic products;0%
Tail gas (petroleum), gas oil catalytic cracking absorber;Tail gas (petroleum), gas oil catalytic cracking absorber;All cosmetic products;0%
Tail gas (petroleum), cracked distillate hydrotreater stripper;Tail gas (petroleum), cracked distillate hydrotreater stripper;All cosmetic products;0%
Tail gas (petroleum), cracked distillate hydrotreater stripper;Tail gas (petroleum), cracked distillate hydrotreater stripper;All cosmetic products;0%
Tail gas (petroleum), cracked distillate hydrotreater separator;Tail gas (petroleum), cracked distillate hydrotreater separator;All cosmetic products;0%
Tail gas (petroleum), catalytic reformed naphtha stabiliser;Tail gas (petroleum), catalytic reformed naphtha stabiliser;All cosmetic products;0%
Tail gas (petroleum), catalytic reformed naphtha separator;Tail gas (petroleum), catalytic reformed naphtha separator;All cosmetic products;0%
"Tail gas (petroleum), catalytic reformed naphtha fractionation stabiliser, hydrogen sulfide-free;Tail gas (petroleum), catalytic reformed naphtha fractionation stabilizer, hydrogen sulfide-free";Tail gas (petroleum), catalytic reformed naphtha fractionation stabilizer, hydrogen sulfide-free;All cosmetic products;0%
"Tail gas (petroleum), catalytic reformed naphtha fractionation stabiliser, hydrogen sulfide-free;Tail gas (petroleum), catalytic reformed naphtha fractionation stabilizer, hydrogen sulfide-free";Tail gas (petroleum), catalytic reformed naphtha fractionation stabiliser, hydrogen sulfide-free;All cosmetic products;0%
Tail gas (petroleum), catalytic reformed naphtha fractionation stabiliser;Tail gas (petroleum), catalytic reformed naphtha fractionation stabiliser;All cosmetic products;0%
"Tail gas (petroleum), catalytic polymn. naphtha fractionation stabiliser;Tail gas (petroleum), catalytic polymn. naphtha fractionation stabilizer";Tail gas (petroleum), catalytic polymn. naphtha fractionation stabiliser;All cosmetic products;0%
"Tail gas (petroleum), catalytic polymn. naphtha fractionation stabiliser;Tail gas (petroleum), catalytic polymn. naphtha fractionation stabilizer";Tail gas (petroleum), catalytic polymn. naphtha fractionation stabilizer;All cosmetic products;0%
"Tail gas (petroleum), catalytic hydrodesulfurised naphtha separator;Tail gas (petroleum), catalytic hydrodesulfurized naphtha separator";Tail gas (petroleum), catalytic hydrodesulfurized naphtha separator;All cosmetic products;0%
"Tail gas (petroleum), catalytic hydrodesulfurised naphtha separator;Tail gas (petroleum), catalytic hydrodesulfurized naphtha separator";Tail gas (petroleum), catalytic hydrodesulfurised naphtha separator;All cosmetic products;0%
Tail gas (petroleum), catalytic cracker, catalytic reformer and hydrodesulfurised combined fractionater;Tail gas (petroleum), catalytic cracker, catalytic reformer and hydrodesulfurised combined fractionater;All cosmetic products;0%
Tail gas (petroleum), catalytic cracker refractionation absorber;Tail gas (petroleum), catalytic cracker refractionation absorber;All cosmetic products;0%
Tail gas (petroleum), catalytic cracked naphtha stabilisation absorber;Tail gas (petroleum), catalytic cracked naphtha stabilisation absorber;All cosmetic products;0%
Tail gas (petroleum), catalytic cracked distillate and naphtha stabiliser;Tail gas (petroleum), catalytic cracked distillate and naphtha stabiliser;All cosmetic products;0%
Tail gas (petroleum), catalytic cracked distillate and catalytic cracked naphtha fractionation absorber;Tail gas (petroleum), catalytic cracked distillate and catalytic cracked naphtha fractionation absorber;All cosmetic products;0%
Tail gas (petroleum), catalytic cracked distillate and catalytic cracked naphtha fractionation absorber;Tail gas (petroleum), catalytic cracked distillate and catalytic cracked naphtha fractionation absorber;All cosmetic products;0%
Tail gas (petroleum), catalytic cracked clarified oil and thermal cracked vacuum residue fractionation reflux drum;Tail gas (petroleum), catalytic cracked clarified oil and thermal cracked vacuum residue fractionation reflux drum;All cosmetic products;0%
Tagetes erecta flower extract and oil;Tagetes erecta flower extract and oil;All cosmetic products;0%
Synthetic curarizants;Synthetic curarizants;All cosmetic products;0%
Sympathicomimetic amines acting on the central nervous system;Sympathicomimetic amines acting on the central nervous system;All cosmetic products;0%
Sultiame;Sultiame;All cosmetic products;0%
Sulphonamides (sulphanilamide and its derivatives obtained by substitution of one or more H-atoms of the -NH2 groups) and their salts;Sulphonamides (sulphanilamide and its derivatives obtained by substitution of one or more H-atoms of the -NH2 groups) and their salts;All cosmetic products;0%
Sulfinpyrazone;Sulfinpyrazone;All cosmetic products;0%
Sulfallate;Sulfallate;All cosmetic products;0%
Sulcotrione (ISO);Sulcotrione (ISO);All cosmetic products;0%
Succinonitrile;Succinonitrile;All cosmetic products;0%
Substances with androgenic effect;Substances with androgenic effect;All cosmetic productsAll cosmetic products;0%
Styrene;Styrene;All cosmetic products;0%
Strychnos species and their galenical preparations;Strychnos species and their galenical preparations;All cosmetic products;0%
Strychnine;Strychnine;All cosmetic products;0%
Strophantus species and their galenical preparations;Strophantus species and their galenical preparations;All cosmetic products;0%
Strophanthins;Strophanthins;All cosmetic products;0%
Strophanthin;Strophanthin;All cosmetic products;0%
Strontium polycarboxylate;Strontium polycarboxylate;All cosmetic products;0%
Strontium nitrate;Strontium nitrate;All cosmetic products;0%
Strontium lactate;Strontium lactate;All cosmetic products;0%
Spiroxamine (ISO);Spiroxamine (ISO);All cosmetic products;0%
Spirotetramat (ISO);Spirotetramat (ISO);All cosmetic products;0%
Spironolactone;Spironolactone;All cosmetic products;0%
Spirodiclofen (ISO);Spirodiclofen (ISO);All cosmetic products;0%
Sparteine;Sparteine;All cosmetic products;0%
Solvent Red 49;Solvent Red 49;All cosmetic products;0%
Solvent naphtha (petroleum), light arom., hydrotreated;Solvent naphtha (petroleum), light arom., hydrotreated;All cosmetic products;0%
Solvent naphtha (petroleum), light arom.;Solvent naphtha (petroleum), light arom.;All cosmetic products;0%
Solvent naphtha (petroleum), light aliph.;Solvent naphtha (petroleum), light aliph.;All cosmetic products;0%
Solvent naphtha (petroleum), hydrotreated light naphthenic;Solvent naphtha (petroleum), hydrotreated light naphthenic;All cosmetic products;0%
Solvent naphtha (coal), xylene-styrene cut;Solvent naphtha (coal), xylene-styrene cut;All cosmetic products;0%
Solvent naphtha (coal), coumarone-styrene contg.;Solvent naphtha (coal), coumarone-styrene contg.;All cosmetic products;0%
Solvent naphtha (coal);Solvent naphtha (coal);All cosmetic products;0%
Solanum nigrum L. and its galenical preparations;Solanum nigrum L. and its galenical preparations;All cosmetic products;0%
Sodium salt or Salts of Isopropylparaben;Sodium salt or Salts of Isopropylparaben;All cosmetic products;0%
Sodium peroxometaborate;Sodium peroxometaborate;All cosmetic products;0%
Sodium peroxoborate hexahydrate;Sodium peroxoborate hexahydrate;All cosmetic products;0%
Sodium perborate;Sodium perborate;All cosmetic products;0%
Sodium pentachlorophenolate;Sodium pentachlorophenolate;All cosmetic products;0%
Sodium nonadecafluorodecanoate;Sodium nonadecafluorodecanoate;All cosmetic products;0%
Sodium hexacyclonate;Sodium hexacyclonate;All cosmetic products;0%
Sodium borate;Sodium borate;All cosmetic products;0%
Slimes and sludges, copper electrolytic refining, decopperised, nickel sulfate;Slimes and sludges, copper electrolytic refining, decopperised, nickel sulfate;All cosmetic products;0%
Slimes and sludges, copper electrolyte refining, decopperised;Slimes and sludges, copper electrolyte refining, decopperised;All cosmetic products;0%
Slack wax (petroleum), low-melting, silicic acid-treated;Slack wax (petroleum), low-melting, silicic acid-treated;All cosmetic products;0%
Slack wax (petroleum), low-melting, hydrotreated;Slack wax (petroleum), low-melting, hydrotreated;All cosmetic products;0%
Slack wax (petroleum), low-melting, clay-treated;Slack wax (petroleum), low-melting, clay-treated;All cosmetic products;0%
Slack wax (petroleum), low-melting, carbon-treated;Slack wax (petroleum), low-melting, carbon-treated;All cosmetic products;0%
Slack wax (petroleum), low-melting;Slack wax (petroleum), low-melting;All cosmetic products;0%
Slack wax (petroleum), hydrotreated;Slack wax (petroleum), hydrotreated;All cosmetic products;0%
Slack wax (petroleum), clay-treated;Slack wax (petroleum), clay-treated;All cosmetic products;0%
Slack wax (petroleum), carbon-treated;Slack wax (petroleum), carbon-treated;All cosmetic products;0%
Slack wax (petroleum), acid-treated;Slack wax (petroleum), acid-treated;All cosmetic products;0%
Slack wax (petroleum);Slack wax (petroleum);All cosmetic products;0%
Simazine;Simazine;All cosmetic products;0%
Silver zinc zeolite;Silver zinc zeolite;All cosmetic products;0%
Silicic acid, nickel salt;Silicic acid, nickel salt;All cosmetic products;0%
Silicic acid, lead nickel salt;Silicic acid, lead nickel salt;All cosmetic products;0%
Selenium and its compounds with the exception of selenium disulphide under the conditions set out under reference No 49 in Annex III;Selenium and its compounds with the exception of selenium disulphide under the conditions set out under reference No 49 in Annex III;All cosmetic products;0%
Secondary alkylamines;Secondary alkylamines;All cosmetic products;0%
Secondary alkanolamines;Secondary alkanolamines;All cosmetic products;0%
Schoenocaulon officinale Lind (seeds and galenical preparations);Schoenocaulon officinale Lind (seeds and galenical preparations);All cosmetic products;0%
Salts of yohimbine;Salts of yohimbine;All cosmetic products;0%
Salts of xylometazoline;Salts of xylometazoline;All cosmetic products;0%
Salts of xylidines;Salts of xylidines;All cosmetic products;0%
Salts of warfarin;Salts of warfarin;All cosmetic products;0%
Salts of veratrine;Salts of veratrine;All cosmetic products;0%
Salts of tuaminoheptane;Salts of tuaminoheptane;All cosmetic products;0%
Salts of trichlormethine;Salts of trichlormethine;All cosmetic products;0%
Salts of triamterene;Salts of triamterene;All cosmetic products;0%
Salts of tretinoin;Salts of tretinoin;All cosmetic products;0%
Salts of tranylcypromine;Salts of tranylcypromine;All cosmetic products;0%
Salts of toluidines;Salts of toluidines;All cosmetic products;0%
Salts of thyropropic acid;Salts of thyropropic acid;All cosmetic products;0%
Salts of thalidomide;Salts of thalidomide;All cosmetic products;0%
Salts of tetryzoline;Salts of tetryzoline;All cosmetic products;0%
Salts of tetracaine;Salts of tetracaine;All cosmetic products;0%
Salts of tetrabenazine;Salts of tetrabenazine;All cosmetic products;0%
Salts of tefazoline;Salts of tefazoline;All cosmetic products;0%
Salts of strychnine;Salts of strychnine;All cosmetic products;0%
Salts of sparteine;Salts of sparteine;All cosmetic products;0%
Salts of secondary alkylamines;Salts of secondary alkylamines;All cosmetic products;0%
Salts of secondary alkanolamines;Salts of secondary alkanolamines;All cosmetic products;0%
Salts of Rauwolfia serpentina L., alkaloids;Salts of Rauwolfia serpentina L., alkaloids;All cosmetic products;0%
Salts of quinoxaline, 1,2,3,4-tetrahydro-6-chloro-;Salts of quinoxaline, 1,2,3,4-tetrahydro-6-chloro-;All cosmetic products;0%
Salts of procainamide;Salts of procainamide;All cosmetic products;0%
Salts of pipradrol;Salts of pipradrol;All cosmetic products;0%
Salts of pipazetate;Salts of pipazetate;All cosmetic products;0%
Salts of pilocarpine;Salts of pilocarpine;All cosmetic products;0%
Salts of phenmetrazine;Salts of phenmetrazine;All cosmetic products;0%
Salts of pemoline;Salts of pemoline;All cosmetic products;0%
Salts of pelletierine;Salts of pelletierine;All cosmetic products;0%
Salts of parethoxycaine;Salts of parethoxycaine;All cosmetic products;0%
Salts of oxpheneridine;Salts of oxpheneridine;All cosmetic products;0%
Salts of octodrine;Salts of octodrine;All cosmetic products;0%
Salts of octamylamine;Salts of octamylamine;All cosmetic products;0%
Salts of octamoxin;Salts of octamoxin;All cosmetic products;0%
Salts of o-phenylenediamine;Salts of o-phenylenediamine;All cosmetic products;0%
Salts of O-alkyldithiocarbonic acids;Salts of O-alkyldithiocarbonic acids;All cosmetic products;0%
Salts of noscapine;Salts of noscapine;All cosmetic products;0%
Salts of noradrenaline;Salts of noradrenaline;All cosmetic products;0%
Salts of nitroxoline;Salts of nitroxoline;All cosmetic products;0%
Salts of nicotine;Salts of nicotine;All cosmetic products;0%
Salts of neostigmine;Salts of neostigmine;All cosmetic products;0%
Salts of neodymium;Salts of neodymium;All cosmetic products;0%
Salts of naphazoline;Salts of naphazoline;All cosmetic products;0%
Salts of nalorphine;Salts of nalorphine;All cosmetic products;0%
Salts of N-(2-nitro-4-aminophenyl)-allylamine;Salts of N-(2-nitro-4-aminophenyl)-allylamine;All cosmetic products;0%
Salts of N,N-bis(2-chloroethyl)methylamine N-oxide;Salts of N,N-bis(2-chloroethyl)methylamine N-oxide;All cosmetic products;0%
Salts of N,N'-pentamethylenebis(trimethylammonium);"Salts of N,N&#39;-pentamethylenebis(trimethylammonium)";All cosmetic products;0%
Salts of N,N'-hexamethylenebis(trimethylammonium);"Salts of N,N&#39;-hexamethylenebis(trimethylammonium)";All cosmetic products;0%
Salts of N,N'-[(Methylimino)diethylene]bis(ethyldimethylammonium);"Salts of N,N&#39;-[(Methylimino)diethylene]bis(ethyldimethylammonium)";All cosmetic products;0%
Salts of morpholine;Salts of morpholine;All cosmetic products;0%
Salts of minoxidil;Salts of minoxidil;All cosmetic products;0%
Salts of methyprylon;Salts of methyprylon;All cosmetic products;0%
Salts of methylphenidate;Salts of methylphenidate;All cosmetic products;0%
Salts of metheptazine;Salts of metheptazine;All cosmetic products;0%
Salts of methapyrilene;Salts of methapyrilene;All cosmetic products;0%
Salts of metformin;Salts of metformin;All cosmetic products;0%
Salts of metethoheptazine;Salts of metethoheptazine;All cosmetic products;0%
Salts of metamfepramone;Salts of metamfepramone;All cosmetic products;0%
Salts of mefeclorazine;Salts of mefeclorazine;All cosmetic products;0%
Salts of mannomustine;Salts of mannomustine;All cosmetic products;0%
Salts of m-phenylenediamine;Salts of m-phenylenediamine;All cosmetic products;0%
Salts of lysergide;Salts of lysergide;All cosmetic products;0%
Salts of lobeline;Salts of lobeline;All cosmetic products;0%
Salts of levofacetoperane;Salts of levofacetoperane;All cosmetic products;0%
Salts of isometheptene;Salts of isometheptene;All cosmetic products;0%
Salts of isobutyl 4-hydroxybenzoate;Salts of isobutyl 4-hydroxybenzoate;All cosmetic products;0%
Salts of hyoscyamine;Salts of hyoscyamine;All cosmetic products;0%
Salts of hyoscine;Salts of hyoscine;All cosmetic products;0%
Salts of hydrogen cyanide;Salts of hydrogen cyanide;All cosmetic products;0%
Salts of hydrazine;Salts of hydrazine;All cosmetic products;0%
1,2,4-triazolidine-3,5-dione, compound with hydrazine (1:1);Salts of hydrazine;All cosmetic products;0%
Hydrazine, diperchlorate, dihydrate;Salts of hydrazine;All cosmetic products;0%
Hydrazine dihydrochloride;Salts of hydrazine;All cosmetic products;0%
Thiocyanic acid, compd. with hydrazine (1:1);Salts of hydrazine;All cosmetic products;0%
Hydrazine, monohydrofluoride;Salts of hydrazine;All cosmetic products;0%
Hydrazine selenate;Salts of hydrazine;All cosmetic products;0%
